ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status,dig_type
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561377705689+0000)/,,150,FormErr,local
8346,"Wireless80211,Tunnel",SN,213.154.64.5,154.125.17.126,Pool Orange sur le BAS,f0318131-9b29-4fd6-b18d-eaa4d6187da8,/Date(1561377711073+0000)/,,774,NoError,local
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561377706923+0000)/,1.1.1.1,81,NoError,remote
8346,"Wireless80211,Tunnel",SN,213.154.64.5,154.125.17.126,Pool Orange sur le BAS,f0318131-9b29-4fd6-b18d-eaa4d6187da8,/Date(1561377714552+0000)/,1.1.1.1,753,NoError,remote
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561377707883+0000)/,8.8.8.8,97,NoError,remote
8346,"Wireless80211,Tunnel",SN,213.154.64.5,154.125.17.126,Pool Orange sur le BAS,f0318131-9b29-4fd6-b18d-eaa4d6187da8,/Date(1561377721208+0000)/,8.8.8.8,1056,NoError,remote
8346,Wireless80211,SN,41.208.148.120,154.125.167.47,SONATEL Societe Nationale Des Telecommunications D,868ac648-3271-42f1-a936-e77b170b833f,/Date(1561377709867+0000)/,9.9.9.9,250,NoError,remote
8346,"Wireless80211,Tunnel",SN,213.154.64.5,154.125.17.126,Pool Orange sur le BAS,f0318131-9b29-4fd6-b18d-eaa4d6187da8,/Date(1561377721846+0000)/,9.9.9.9,537,NoError,remote
37425,"Wireless80211,Wireless80211",SO,172.68.129.10,41.79.199.16,Somcable Ltd Internal Network,d4e64ab3-4961-4f37-bfca-50649b4523ee,/Date(1561377713893+0000)/,,834,NoError,local
37425,"Wireless80211,Wireless80211",SO,172.68.129.10,41.79.199.16,Somcable Ltd Internal Network,d4e64ab3-4961-4f37-bfca-50649b4523ee,/Date(1561377714544+0000)/,1.1.1.1,354,ServFail,remote
37425,"Wireless80211,Wireless80211",SO,172.68.129.10,41.79.199.16,Somcable Ltd Internal Network,d4e64ab3-4961-4f37-bfca-50649b4523ee,/Date(1561377716043+0000)/,8.8.8.8,281,NoError,remote
37425,"Wireless80211,Wireless80211",SO,172.68.129.10,41.79.199.16,Somcable Ltd Internal Network,d4e64ab3-4961-4f37-bfca-50649b4523ee,/Date(1561377718692+0000)/,9.9.9.9,601,NoError,remote
327802,Wireless80211,TD,74.125.47.146,154.73.166.23,Millicom-chad,8c27c5a6-c894-402e-9c09-8d27434cb33a,/Date(1561377721774+0000)/,,709,NoError,local
327802,Wireless80211,TD,74.125.47.146,154.73.166.23,Millicom-chad,8c27c5a6-c894-402e-9c09-8d27434cb33a,/Date(1561377722053+0000)/,1.1.1.1,3991,NoError,remote
327802,Wireless80211,TD,74.125.47.146,154.73.166.23,Millicom-chad,8c27c5a6-c894-402e-9c09-8d27434cb33a,/Date(1561377723209+0000)/,8.8.8.8,756,NoError,remote
327802,Wireless80211,TD,74.125.47.146,154.73.166.23,Millicom-chad,8c27c5a6-c894-402e-9c09-8d27434cb33a,/Date(1561377728800+0000)/,9.9.9.9,300,NoError,remote
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561377721399+0000)/,,42,NoError,local
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561377727338+0000)/,1.1.1.1,4501,NoError,remote
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561377732360+0000)/,8.8.8.8,4501,NoError,remote
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561377737070+0000)/,9.9.9.9,4501,NoError,remote
10474,Wireless80211,ZA,196.28.182.24,197.86.222.12,MWEB,a06c316c-d085-4bfc-8ef9-8a01280acf71,/Date(1561377770668+0000)/,,42,NoError,local
37457,Wireless80211,ZA,,197.229.4.5,Telkom Internet,8643da6f-e6b4-45a1-a68e-a11dc2f15380,/Date(1561377732386+0000)/,1.1.1.1,146,NoError,remote
10474,Wireless80211,ZA,196.28.182.24,197.86.222.12,MWEB,a06c316c-d085-4bfc-8ef9-8a01280acf71,/Date(1561377771848+0000)/,1.1.1.1,41,NoError,remote
10474,Wireless80211,ZA,196.28.182.24,197.86.222.12,MWEB,a06c316c-d085-4bfc-8ef9-8a01280acf71,/Date(1561377772897+0000)/,8.8.8.8,41,NoError,remote
10474,Wireless80211,ZA,196.28.182.24,197.86.222.12,MWEB,a06c316c-d085-4bfc-8ef9-8a01280acf71,/Date(1561377773843+0000)/,9.9.9.9,41,NoError,remote
30844,Ethernet,ZW,74.125.181.2,197.155.232.106,Gpon Pool,ee9579c4-65b0-4022-a765-a5105b208137,/Date(1561377727544+0000)/,,3,NoError,local
37184,Wireless80211,ZW,41.216.125.179,41.220.26.170,POWERTEL,db65c5ce-787f-4aba-9f1f-04ea833e9e74,/Date(1561377741916+0000)/,,9043,NoError,local
30844,Ethernet,ZW,74.125.181.2,197.155.232.106,Gpon Pool,ee9579c4-65b0-4022-a765-a5105b208137,/Date(1561377727810+0000)/,1.1.1.1,155,NoError,remote
37184,Wireless80211,ZW,41.216.125.179,41.220.26.170,POWERTEL,db65c5ce-787f-4aba-9f1f-04ea833e9e74,/Date(1561377729301+0000)/,1.1.1.1,95,NoError,remote
30844,Ethernet,ZW,74.125.181.2,197.155.232.106,Gpon Pool,ee9579c4-65b0-4022-a765-a5105b208137,/Date(1561377728954+0000)/,8.8.8.8,167,NoError,remote
37184,Wireless80211,ZW,41.216.125.179,41.220.26.170,POWERTEL,db65c5ce-787f-4aba-9f1f-04ea833e9e74,/Date(1561377730811+0000)/,8.8.8.8,43,NoError,remote
30844,Ethernet,ZW,74.125.181.2,197.155.232.106,Gpon Pool,ee9579c4-65b0-4022-a765-a5105b208137,/Date(1561377729995+0000)/,9.9.9.9,1,NoError,remote
37184,Wireless80211,ZW,41.216.125.179,41.220.26.170,POWERTEL,db65c5ce-787f-4aba-9f1f-04ea833e9e74,/Date(1561377732135+0000)/,9.9.9.9,52,Refused,remote
