testid,cc,server,dig_type
5c99eb94-0fef-42ab-b85d-fcdf21c1d2a4,SN,,local
a6dee307-994f-4449-9a69-94c6e23fa337,SN,1.1.1.1,remote
f3786fbb-a853-4f3d-bb9e-49cc0565177c,SN,8.8.8.8,remote
65e29981-ad3e-4bc7-bbc7-174ce7309ee7,SN,9.9.9.9,remote
e52dcc72-3a82-48e6-a059-db4a2becdeea,TD,,local
9dd75dba-10ca-445e-a540-289be2e0b51e,TD,1.1.1.1,remote
6fb395af-c80c-4841-a658-879d352243e0,TD,8.8.8.8,remote
2a250367-e9c0-4a2d-98b5-2aff9fe94508,TD,9.9.9.9,remote
bcbb1f2e-ce75-44ba-b931-a6db747cbeb0,TN,,local
9acd50d8-93b9-4713-a96b-acea558649af,TN,1.1.1.1,remote
bf1944ea-6ff3-4537-a64b-cbf71a761405,TN,8.8.8.8,remote
28000ba2-08ab-4fb9-8c7d-cb728369bf53,TN,9.9.9.9,remote
621de635-775e-4a70-943c-5802bed6cf97,UG,,local
4c4e1364-7522-42b8-84b9-6a6838072f1c,UG,1.1.1.1,remote
3987e77b-0ce1-4c9e-9a6b-68bdae3ab3ec,UG,8.8.8.8,remote
ca0c8e18-3f6a-4401-9eee-94cbbf575d33,UG,9.9.9.9,remote
ab686b0e-00f1-46e6-8c79-ff20ffa4444a,ZA,,local
a10e274e-d8a6-4479-9bfc-4a4cf7fec221,ZA,1.1.1.1,remote
05659618-bb5f-4b4d-8dbb-377b6d4b27ac,ZA,8.8.8.8,remote
80ba2177-1f67-4c27-b097-8c3102b22085,ZA,9.9.9.9,remote
896ef301-e383-490b-8611-55433f0bc75d,ZM,,local
1198598e-6113-4a40-846a-ddcabbd76d3a,ZM,1.1.1.1,remote
7f35ee7d-81d5-462e-ba3f-623f14bb9597,ZM,8.8.8.8,remote
3c526e56-a9a1-4b1d-b287-8050cd8cfc94,ZM,9.9.9.9,remote
59208b0e-4838-41bc-a93d-051fada18e96,ZW,,local
24b0d415-d3c6-4e50-aae1-d7c41c465f9e,ZW,1.1.1.1,remote
1fc6b701-5e79-47e9-a555-3f6dc3dcd134,ZW,8.8.8.8,remote
6132df01-af76-4472-b5b4-6e0fdb1b4b7b,ZW,9.9.9.9,remote
