ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
36903|WIFI|MA|81.192.17.82|41.143.205.139|Maroc Telecom|2bdbaa65-0477-4eef-b766-be48f63f43c5|/Date(1561163812983+0000)/|8.8.8.8|73|70|429|190
36903|WIFI|MA|81.192.17.90|41.141.165.X|Maroc Telecom|NONE|/Date(1561163833009+0000)/|8.8.8.8|39|40|479|186
36903|WIFI|MA|81.192.17.22|41.248.125.3|Maroc Telecom|4a1f65a3-0e5c-4970-9895-e41d691c0308|/Date(1561163807214+0000)/|9.9.9.9|83|96|84|87
36903|WIFI|MA|81.192.17.26|41.249.159.17|Maroc Telecom|7db94d95-488a-4e61-8767-9bb7332a37ef|/Date(1561163812560+0000)/|9.9.9.9|79|77|88|81
36903|WIFI|MA|81.192.17.82|41.141.187.24|Maroc Telecom|c11a8c62-7200-42c0-8436-caba0ab015ce|/Date(1561163813105+0000)/|9.9.9.9|82|92|86|86
36903|WIFI|MA|81.192.17.18|105.158.195.238|Maroc Telecom|7ff99941-fe65-4bc8-bf49-2055a9d38173|/Date(1561163816859+0000)/|9.9.9.9|70|74|69|71
36903|WIFI|MA|81.192.17.26|196.70.11.160|Maroc Telecom|2bac40bb-7362-4e8d-bd4e-e7c5c8e759d5|/Date(1561163817128+0000)/|9.9.9.9|82|142|83|102
36903|WIFI|MA|81.192.17.82|196.64.0.243|Maroc Telecom|271b2976-16bd-4174-bec0-923ed386319d|/Date(1561163817428+0000)/|9.9.9.9|91|91|91|91
36903|WIFI|MA|81.192.17.82|41.250.144.253|Maroc Telecom|377c209e-5814-4b54-9725-809da43c4e49|/Date(1561163822060+0000)/|9.9.9.9|137|130|152|139
36903|WIFI|MA|81.192.17.18|160.179.80.206|Maroc Telecom ADSL|1b6a0dcb-6b52-44c5-9813-1d5efb2e93b4|/Date(1561163825872+0000)/|9.9.9.9|100|98|101|99
36903|WIFI|MA|81.192.17.18|196.75.224.39|Maroc Telecom|f5c629d0-6287-48c7-a84f-fb8873e8e395|/Date(1561163827602+0000)/|9.9.9.9|81|92|89|87
37671|WIFI|TN|193.95.57.26|197.15.16.225|Globalnet|84c55b62-22d7-4473-af66-23e1fd3fb6c6|/Date(1561163811217+0000)/|1.1.1.1|74|71|94|79
