testid,cc,server,ping_type
b97306db-c7ef-44c3-9bf9-1c714fd7d8e2,SO,8.8.8.8,icmp
e9b1748d-f27d-4abe-91f1-9e92e1591e62,SO,9.9.9.9,icmp
df5f0757-a8e9-4482-ba9e-e41ee123385b,UG,1.1.1.1,icmp
f2ccfc16-fa2a-456c-b1a1-52eea28f0031,UG,8.8.8.8,icmp
033ca1a3-d6f8-4f14-bbcf-d55f5b654612,UG,9.9.9.9,icmp
0792cf8d-1a75-41dd-a657-59cecaa6f183,LS,1.1.1.1,icmp
01c618ed-4904-48b0-b0a9-66b7c3a76356,LS,8.8.8.8,icmp
47cb56c0-dd29-4113-b28b-2e412485d6c6,LS,9.9.9.9,icmp
8ee8d160-a084-4eff-8975-b07112b6c967,NA,1.1.1.1,icmp
a10d8a9e-d1df-413f-b654-3a2ad7677b83,NA,8.8.8.8,icmp
4128eddd-03eb-42df-8bfd-cd6a6ab6c497,NA,9.9.9.9,icmp
fd2d1f91-42f0-4d02-b11e-50c6277014eb,SZ,1.1.1.1,icmp
0a318654-f658-4672-8b44-c7ae0abdac5f,SZ,8.8.8.8,icmp
fe1513a7-cb29-411a-a186-3c1504088418,SZ,9.9.9.9,icmp
73184449-5a4e-4138-acfc-5f60b647f974,ZA,1.1.1.1,icmp
8d13a34e-2726-43f6-967c-0011285721ee,ZA,8.8.8.8,icmp
8efba9c3-d698-4e29-ae20-89abb38d6553,ZA,9.9.9.9,icmp
6ce9b102-6f4f-46b8-a9da-a0e6fa8b6d6b,DZ,1.1.1.1,icmp
f0aa3e45-8ede-4dee-9d66-4d881eaebe62,DZ,8.8.8.8,icmp
37fcdf62-4206-4aba-ae60-a78f1d0e1773,DZ,9.9.9.9,icmp
dfb55523-b21c-410c-8008-ed6f007a6d32,EH,1.1.1.1,icmp
fae53162-663b-48da-8fbc-391dc9fe03b2,EH,8.8.8.8,icmp
22c065e3-4137-434b-bb3e-10f41c775faa,EH,9.9.9.9,icmp
a8ae29ea-45b6-4022-b7b4-b5d5bd8cf614,LY,1.1.1.1,icmp
da3091f0-51f1-40d7-900c-ac34df409c6a,LY,8.8.8.8,icmp
13378ec8-c565-4d79-8229-2ee7d481a4f6,LY,9.9.9.9,icmp
