testid,cc,server
1d3971c4-aee7-45b8-80fe-11d5d10c56da,SC,8.8.8.8
fbb2caf3-77df-4c75-a0c3-03aff461175b,SC,9.9.9.9
4cf1f146-0d0e-4bea-bee1-9a64fc2bda34,SO,1.1.1.1
5894642d-d206-433c-bfde-1743b275b5ff,SO,8.8.8.8
63acd0bf-f585-4730-8fc7-cf68159905b5,SO,9.9.9.9
b65f0715-ac85-48a0-8100-b093d7715f0f,UG,1.1.1.1
d2bd4c82-ea90-46a9-8380-af62bcb8e423,UG,8.8.8.8
61d4e5e8-d811-44d8-a461-d468b98a4102,UG,9.9.9.9
25b04ab2-a5b3-4131-aaae-5a6b8f1f68f9,LS,1.1.1.1
794bbdee-8da3-4c0d-830b-750527c2bd7f,LS,8.8.8.8
31cb03c1-e303-48fa-8268-8951ffd465b3,LS,9.9.9.9
d8cdcf2b-1e56-45c8-b1f1-541d99225722,NA,1.1.1.1
79eae082-7669-47d2-a71d-9711785a925a,NA,8.8.8.8
9544767d-0f13-4a79-8a89-0409c40ecdf0,NA,9.9.9.9
48b073f7-50bd-4e87-9d6b-282629ab2890,SZ,1.1.1.1
ebbe07e7-3125-4aba-b93d-233469582436,SZ,8.8.8.8
2ec967d1-1c18-45c5-a021-58508c38733c,SZ,9.9.9.9
ca741f39-b532-4639-8428-4e7bb652ee1f,ZA,1.1.1.1
bd6c3656-81e7-4068-8b52-20931c0ff188,ZA,8.8.8.8
c211a20a-703c-43a3-a2ca-c2ed2490b911,ZA,9.9.9.9
b1d043e7-aeba-4270-9f3e-8633ca403580,DZ,1.1.1.1
d236e3be-b4b4-4d5c-9c96-d8b8fe97002c,DZ,8.8.8.8
0e54e011-c8cc-45b7-814a-1a4ca67f6768,DZ,9.9.9.9
8782d76a-0d9c-4775-8164-163f7b1424f2,EH,1.1.1.1
713e341a-bf7b-408c-beb6-da7d59b66a87,EH,8.8.8.8
10332f55-9c39-4d31-b992-01aa59e50c76,EH,9.9.9.9
5c616684-46a5-47e8-8d25-2c94d2e98a06,LY,1.1.1.1
3eee23ce-fa86-41b1-81f9-0609d1cc680c,LY,8.8.8.8
8b602f8a-83aa-4999-81bd-2e37c553df48,LY,9.9.9.9
a73ad4ae-c5ad-4db2-96f5-745afa660869,BF,1.1.1.1
669f6352-f20c-455f-ba07-17d422fae25c,BF,8.8.8.8
b58bed0f-e98b-4932-9bbc-55471578841c,BF,9.9.9.9
ac482d9d-1c73-4529-8116-bcbb7eed0e25,SH,1.1.1.1
a7ef852c-c06a-48c5-b094-1e347e68a29f,SH,8.8.8.8
0a6597c3-e768-409f-9191-cf50806c291a,SH,9.9.9.9
29017446-2101-4653-b000-82c711dfbea7,CD,1.1.1.1
3cac4d6f-0d41-4202-9c0c-56619d6cb900,CD,8.8.8.8
c578f9c1-a0fe-4daa-b659-e9ce1eeec525,CD,9.9.9.9
4562c0e3-6e57-4df1-9fbf-f5ce43d77282,TZ,1.1.1.1
69d2fccc-4796-4961-8e58-5b27d8e75795,TZ,8.8.8.8
65a9352f-c537-4d9b-9c84-fcb9d0a3605d,TZ,9.9.9.9
9ae1fa9e-cf1b-40ac-aa22-60de5ea07551,YT,1.1.1.1
a880e5c4-af66-4433-bc13-c6c930a49084,YT,8.8.8.8
77094b40-57b0-4555-ad00-70e9f1e9a139,YT,9.9.9.9
1b249724-f64c-48e1-97a6-68da8c0f5843,ZM,1.1.1.1
233ea3ae-f802-46ed-b9ef-2ac2b998d6d7,ZM,8.8.8.8
ac615564-07b8-4349-ab27-610246f33da3,ZM,9.9.9.9
d7a2cfd2-795c-4390-a5f1-865176e67905,ZW,1.1.1.1
7b1090c6-9c4b-4b8e-8600-f9fbe27b7e0a,ZW,8.8.8.8
b85a52a4-378b-42e7-9ef2-bd8a895837e1,ZW,9.9.9.9
