ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status
36903,Ethernet,MA,81.192.21.50,41.250.232.222,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561112835022+0000)/,8.8.8.8,23,NoError
36903,"Ethernet,Ethernet,Wireless80211",MA,81.192.17.90,160.176.73.171,Maroc Telecom ADSL,d92755a1-3242-4138-ac6f-5a813e06e360,/Date(1561112836298+0000)/,8.8.8.8,63,NoError
36903,Ethernet,MA,81.192.17.86,105.154.203.1,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561112844262+0000)/,8.8.8.8,4501,NoError
36903,Wireless80211,MA,81.192.17.82,196.206.63.64,Maroc Telecom,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561112844734+0000)/,8.8.8.8,536,NoError
36903,Ethernet,MA,81.192.21.50,41.250.232.222,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561112835590+0000)/,9.9.9.9,55,Refused
36903,Ethernet,MA,81.192.17.22,41.143.52.54,Maroc Telecom,c1111e0b-50e1-4626-a20e-1c2dbf967790,/Date(1561112836168+0000)/,9.9.9.9,196,Refused
36903,Wireless80211,MA,81.192.17.82,41.248.237.181,Maroc Telecom,8e3c4043-7d90-4be7-84b3-e9a2f8c5643a,/Date(1561112836373+0000)/,9.9.9.9,68,NoError
36903,"Ethernet,Ethernet,Wireless80211",MA,81.192.17.90,160.176.73.171,Maroc Telecom ADSL,d92755a1-3242-4138-ac6f-5a813e06e360,/Date(1561112837359+0000)/,9.9.9.9,96,NoError
36903,Ethernet,MA,81.192.17.86,105.154.203.1,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561112842367+0000)/,9.9.9.9,274,NoError
36903,Wireless80211,MA,81.192.17.82,196.206.63.64,Maroc Telecom,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561112847516+0000)/,9.9.9.9,103,NoError
37148,Wireless80211,NG,129.205.112.254,41.203.78.210,globacom,2a0a1aa1-191f-4496-acea-ce8fd6967b47,/Date(1561112837267+0000)/,1.1.1.1,323,NoError
36923,Ethernet,NG,8.0.26.129,41.58.244.43,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561112840024+0000)/,1.1.1.1,4201,NoError
37148,Wireless80211,NG,129.205.112.254,129.205.112.195,globacom,4c2299df-82e6-499b-8b11-23743fe06cc2,/Date(1561112840797+0000)/,1.1.1.1,750,NoError
37148,Wireless80211,NG,129.205.112.254,41.203.78.210,globacom,2a0a1aa1-191f-4496-acea-ce8fd6967b47,/Date(1561112838956+0000)/,8.8.8.8,68,NoError
